candidate_id	candidate_key	local_file_id	reference_id_if_any	journal	volume	issue	year	article_title	author	page_range_or_page	candidate_type	evidence_marker	short_evidence_snippet	contains_translation_candidate	contains_edition_or_transliteration_candidate	contains_commentary_only	confidence	next_action	notes
jbrs-candidate-0013	jbrs-candidate-key:1917-pyuinscriptions-blagden1917-pdf:translation_word_hit:page-2:765af75cd026	1917-pyuinscriptions-blagden1917-pdf		Journal of the Burma Research Society			1917	PyuInscriptions Blagden1917	C. O. Blagden		translation_word_hit	panied by translations in other languages, one finds oneself face to face with	panied by translations in other languages, one finds oneself face to face with	true	false	true	low	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0014	jbrs-candidate-key:1920-shwegugyiinscription-luce1920-pdf:explicit_translation_heading:page-1:2944296d55c9	1920-shwegugyiinscription-luce1920-pdf	jbrs-target-0012	Journal of the Burma Research Society	10	2	1920	Luce	U Pe Maung Tin	67-74	explicit_translation_heading	TRANSLATION.	TRANSLATION.	true	false	false	high	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0015	jbrs-candidate-key:1932-burmadebttopagan-luce1932-pdf:text_and_translation_section:page-2:f0e4cfc17d95	1932-burmadebttopagan-luce1932-pdf	jbrs-target-0004	Journal of the Burma Research Society			1932	Myanmar's Debt	G. H. Luce	125	text_and_translation_section	1. pp. 47-48. The full text and translation is given in Vol. X, 1920, of the Jo…	1. pp. 47-48. The full text and translation is given in Vol. X, 1920, of the Journal,	true	true	false	medium	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0016	jbrs-candidate-key:1948-centuryofprogress-luce1948-pdf:explicit_translation_heading:page-12:81f36ff0d728	1948-centuryofprogress-luce1948-pdf		Journal of the Burma Research Society			1948	CenturyOfProgress Luce1948	G. H. Luce		explicit_translation_heading	Translation of an Inscription in the Pali character	Translation of an Inscription in the Pali character	true	false	false	high	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0017	jbrs-candidate-key:1976-anandainscriptions-tinlwin1976-pdf:explicit_translation_heading:page-1:e52b351bb422	1976-anandainscriptions-tinlwin1976-pdf		Journal of the Burma Research Society			1976	AnandaInscriptions Tinlwin1976			explicit_translation_heading	Translation of the text in P 1	Translation of the text in P 1	true	false	false	high	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0018	jbrs-candidate-key:293264-36fe582c909b:bibliography_only:page-2:0aa93391dca8	293264-36fe582c909b		Journal of the Burma Research Society				Luce&PeMaungTin BurmaDownToFallOfPagan	U Pe Maung Tin		bibliography_only	The bulk of Chinese references to the Pyu go back clearly to	The bulk of Chinese references to the Pyu go back clearly to	false	false	true	low	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0019	jbrs-candidate-key:a1_editorial_luce1924-099d53582376:translation_word_hit:page-2:53f20e80457e	a1_editorial_luce1924-099d53582376		Journal of the Burma Research Society			1924	A1 Editorial Luce1924	G. H. Luce		translation_word_hit	we offer, in the latter part of this number, a translation of the first fifty	we offer, in the latter part of this number, a translation of the first fifty	true	false	true	low	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0020	jbrs-candidate-key:a5_countriesneighbouringburma2_luce_ref_-c1353abdc155:citation_to_someone_else_translation:page-1:b54f61b2fe32	a5_countriesneighbouringburma2_luce_ref_-c1353abdc155		Journal of the Burma Research Society			1924	A5 CountriesNeighbouringBurma2 Luce ref Pelliot1924	G. H. Luce		citation_to_someone_else_translation	law of this prince (see the translation of this inscription by Bühler: Inscript…	law of this prince (see the translation of this inscription by Bühler: Inscriptions	true	false	true	low	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0021	jbrs-candidate-key:burmatofallofpagan_luce1939-b89e7b3d7dc1:bibliography_only:page-2:5ca9e6c463f8	burmatofallofpagan_luce1939-b89e7b3d7dc1		Journal of the Burma Research Society			1939	BurmaToFallOfPagan Luce1939	G. H. Luce		bibliography_only	The bulk of Chinese references to the Pyu go back clearly to	The bulk of Chinese references to the Pyu go back clearly to	false	false	true	low	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0022	jbrs-candidate-key:centuryofprogress_luce1948-f1e3355883ba:text_and_translation_section:page-12:d64da512d4ed	centuryofprogress_luce1948-f1e3355883ba		Journal of the Burma Research Society			1948	CenturyOfProgress Luce1948	G. H. Luce		text_and_translation_section	Dhammaceti at Pegu in 1476 A.D. Text and Translation.	Dhammaceti at Pegu in 1476 A.D. Text and Translation.	true	true	false	medium	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0023	jbrs-candidate-key:luce_1924_countries_neighbouring_burma_j-056f581dfe61:citation_to_someone_else_translation:page-4:715b0f6a2cb5	luce_1924_countries_neighbouring_burma_j-056f581dfe61		Journal of the Burma Research Society			1924	Luce Countries Neighbouring Burma ()	G. H. Luce		citation_to_someone_else_translation	_- Weems are Beh Ue akakusa, 4 Record of the Buddhist Religion, p, xxxiii). re…	_- Weems are Beh Ue akakusa, 4 Record of the Buddhist Religion, p, xxxiii). re lew of this prince (See the translation of this inscription by Baller: Juseripiions	true	false	true	low	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
jbrs-candidate-0024	jbrs-candidate-key:luce_1937_ancient_pyu-6a948eb3f6cc:translation_word_hit:page-2:2f1a23243b22	luce_1937_ancient_pyu-6a948eb3f6cc		Journal of the Burma Research Society			1937	Luce Ancient Pyu	G. H. Luce		translation_word_hit	Sanskrit expressions are literal translations or in some cases longer	Sanskrit expressions are literal translations or in some cases longer	true	false	true	low	Review the source manually before treating this as translation-bearing content.	Derived from existing OCR text or local text-searchable content; this is a review lead, not verified translation coverage.
