query	matched_file_label	matched_file_id	match_type	match_confidence	short_evidence	searched_sources	search_scope	search_date_or_run_id	search_result_status	recommended_action	notes	is_text_witness_candidate	is_plate_witness_candidate	false_positive_for_text	reason_not_text_witness
Inscriptions of Burma text	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	Treat this as a bibliographic clue only; locate the direct local file.	OCR/index token overlap 3/3 for Inscriptions of Burma text	false	false	false	
Inscriptions of Burma portfolio text	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	Treat this as a bibliographic clue only; locate the direct local file.	OCR/index token overlap 3/4 for Inscriptions of Burma portfolio text	false	false	false	
Inscriptions of Burma Portfolio I text	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	Treat this as a bibliographic clue only; locate the direct local file.	OCR/index token overlap 3/4 for Inscriptions of Burma Portfolio I text	false	false	false	
Inscriptions of Burma Portfolio II text	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	Treat this as a bibliographic clue only; locate the direct local file.	OCR/index token overlap 3/4 for Inscriptions of Burma Portfolio II text	false	false	false	
Inscriptions of Burma text volume	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	Treat this as a bibliographic clue only; locate the direct local file.	OCR/index token overlap 3/4 for Inscriptions of Burma text volume	false	false	false	
Pe Maung Tin Luce Inscriptions of Burma text	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	normalized_title_filename	medium	"explicit definition context 7) 0 88 AA su AE AA hee(A) u Aa Arim « nhama ’? kra[rh] u smi? 8) kO0 fa moth v miya ‘7 cO(th) «Atma ‘i’ korh pantyah » ""i pwo- 9) A kmay » Aa thwon « miya ‘[i]’ nway » samt [7’] mryat"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	Retain as a plate witness; continue searching for the companion text volume.	Normalized token overlap 5/6 for Pe Maung Tin Luce Inscriptions of Burma text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not companion text volume	false	true	true	plate/facsimile volume, not companion text volume
Inscriptions of Burma list text	a_list_of_inscriptions_found_in_burma_part_i.pdf	a_list_of_inscriptions_found_in_burma_pa-1cabd997be83	normalized_title_filename	medium	OBI_LIBRARY_ROOT:Thematic/Burmese/DownloadsFromBurmeseInscriptionsFacebookGroup/a_list_of_inscriptions_found_in_burma_part_i.pdf	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	Retain only as a reviewed cross-source List witness; continue searching for the Luce/Pe Maung Tin companion text volume.	Normalized token overlap 3/4 for Inscriptions of Burma list text | The matched file belongs to the separate List source work and cannot satisfy the Inscriptions of Burma text-volume hunt. | Matched the separate List of Inscriptions source work, not the Luce/Pe Maung Tin companion text volume.	false	false	false	separate List source work, not the Luce/Pe Maung Tin companion text volume
Luce Pe Maung Tin Portfolio I	111029.pdf	111029-f93adf2c3a6c	normalized_title_filename	medium	OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/111029.pdf	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	Retain only as a reviewed secondary/cross-source lead; continue searching for the Luce/Pe Maung Tin companion text volume.	Normalized token overlap 3/4 for Luce Pe Maung Tin Portfolio I | The matched file points to a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume. | Matched a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume.	false	false	false	secondary Luce/Pe Maung Tin chronicle/article lead, not the companion text volume
Luce Pe Maung Tin Portfolio II	111029.pdf	111029-f93adf2c3a6c	normalized_title_filename	medium	OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/111029.pdf	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	Retain only as a reviewed secondary/cross-source lead; continue searching for the Luce/Pe Maung Tin companion text volume.	Normalized token overlap 3/4 for Luce Pe Maung Tin Portfolio II | The matched file points to a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume. | Matched a Luce/Pe Maung Tin chronicle/article lead rather than the companion Inscriptions of Burma text volume.	false	false	false	secondary Luce/Pe Maung Tin chronicle/article lead, not the companion text volume
Inscriptions of Burma 1960 text	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	normalized_title_filename	medium	"explicit definition context 7) 0 88 AA su AE AA hee(A) u Aa Arim « nhama ’? kra[rh] u smi? 8) kO0 fa moth v miya ‘7 cO(th) «Atma ‘i’ korh pantyah » ""i pwo- 9) A kmay » Aa thwon « miya ‘[i]’ nway » samt [7’] mryat"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	Retain as a plate witness; continue searching for the companion text volume.	Normalized token overlap 3/4 for Inscriptions of Burma 1960 text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not companion text volume	false	true	true	plate/facsimile volume, not companion text volume
Inscriptions of Burma 1963 text	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44	normalized_title_filename	medium	OBI_AUTHOR_ALPHA_ROOT:Luce/Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf | OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Luce/Luce&PeMaungTin_InscriptionsOfBurma(…	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	Retain as a plate witness; continue searching for the companion text volume.	Normalized token overlap 3/4 for Inscriptions of Burma 1963 text | Plate/facsimile volume matched the text hunt but does not satisfy the missing text-witness requirement. | plate/facsimile volume, not companion text volume	false	true	true	plate/facsimile volume, not companion text volume
